ID;FEATURE;TYPE
0;SEMESTRE_1;int64
1;SEMESTRE_2;int64
2;SEGUNDA;int64
3;TERCA;int64
4;QUARTA;int64
5;QUINTA;int64
6;SEXTA;int64
7;DISTANCIA_DIA_ANTERIOR;int64
8;DISTANCIA_DIA_POSTERIOR;int64
9;PERC_CONCLUSAO_SEM;float64
10;PERC_CONCLUSAO_MES;float64
11;PRESSAO_ATMOSFERICA;float64
12;TEMPERATURA;float64
13;UMIDADE;int64
14;VENTO;float64
15;VENDAS_ALMOCO;int64
16;VENDAS_ALMOCO_1;int64
17;VENDAS_ALMOCO_2;int64
18;VENDAS_ALMOCO_3;int64
19;VENDAS_ALMOCO_4;int64
20;VENDAS_ALMOCO_5;int64
21;ENTR_ALMOCO;int64
22;ENTR_ALMOCO_1;int64
23;ENTR_ALMOCO_2;int64
24;ENTR_ALMOCO_3;int64
25;ENTR_ALMOCO_4;int64
26;ENTR_ALMOCO_5;int64
27;ENTR_JANTAR;int64
28;ENTR_JANTAR_1;int64
29;ENTR_JANTAR_2;int64
30;ENTR_JANTAR_3;int64
31;ENTR_JANTAR_4;int64
32;ENTR_JANTAR_5;int64
